name,calories,protein,fat,carbohydrates,diet_type,category,region,meal_time
Rasam,566.1,17.0,31.5,75.3,vegan,breakfast,Pan India,afternoon
Mutton Curry,285.8,10.3,5.9,29.3,eggetarian,breakfast,Pan India,night
Veg Momos,273.5,23.0,14.7,14.3,vegan,breakfast,East India,evening
Fish Curry,286.0,22.0,32.9,20.1,eggetarian,dessert,East India,afternoon
Baingan Bharta,502.5,25.4,36.9,64.8,non-vegetarian,dinner,South India,morning
Dosa,518.8,11.4,24.3,50.9,vegetarian,snack,East India,morning
Pav Bhaji,402.3,3.2,36.6,30.3,vegan,dinner,Pan India,evening
Aloo Tikki,196.7,4.4,9.8,25.4,eggetarian,dessert,East India,night
Jalebi,578.4,23.8,34.0,68.1,eggetarian,lunch,West India,night
Veg Momos,435.3,12.8,26.2,37.1,eggetarian,dessert,West India,morning
Chicken 65,575.5,6.4,9.4,79.8,non-vegetarian,dessert,Pan India,evening
Mutton Curry,465.7,15.1,3.6,76.1,non-vegetarian,dessert,East India,night
Veg Momos,494.3,4.9,1.5,58.1,vegetarian,dessert,North India,evening
Shrikhand,100.8,9.6,23.6,68.8,vegan,snack,West India,morning
Masala Chai,191.8,28.2,21.9,48.2,vegetarian,dinner,North India,afternoon
Samosa,231.7,12.5,8.0,24.2,vegan,dinner,North India,evening
Kadhi,156.1,10.8,5.3,49.8,vegan,breakfast,East India,night
Paneer Butter Masala,319.7,7.9,24.3,50.4,vegetarian,breakfast,North India,evening
Curd Rice,336.2,17.4,5.1,76.7,eggetarian,lunch,South India,evening
Kheer,224.2,19.2,39.4,40.2,vegetarian,snack,South India,morning
Paneer Tikka,202.8,14.7,18.6,23.7,non-vegetarian,lunch,East India,night
Tamarind Rice,454.7,15.2,23.6,58.2,eggetarian,lunch,North India,evening
Idli,598.7,28.3,33.4,72.5,vegetarian,lunch,South India,morning
Kadhi,132.5,15.0,30.6,74.7,vegetarian,snack,West India,night
